objname,ra2000,de2000,t,type,logd25,d25,bt,incl,ned_v_helio,ned_v_corr,ned_dist_z_corr,ned_dist_0,hyperleda_v_helio,hyperleda_dist_z_helio,hyperleda_dist_0,dist_best
NGC2778,138.1017,35.02742,-4.8,E,1.11,1.288249594126457,13.35,62.7,2049.0,2391.0,32.64609503,35.67,2030,27.71709448388858,22.69864572755583,22.6986457276
NGC2798,139.34505,41.99907,1.1,SBa,1.39,2.4547088348300035,13.02,83.4,1726.0,2085.0,28.4680502458,26.37,1740,23.75750955761878,,26.37
NGC2799,139.3791,41.99416,8.8,SBm,1.25,1.778279410038923,14.89,90.0,1673.0,2033.0,27.7580557073,27.4,1859,25.382304751501902,,27.4
NGC2787,139.82685,69.20331,-1.0,S0-a,1.51,3.2359364982378263,11.60,66.1,696.0,1040.0,14.1998907701,22.34,697,9.516657564172583,7.413100459583173,7.41310045958
IC2461,139.99185,37.19121,3.3,Sb,1.38,2.39883289268131,14.63,90.0,2260.0,2611.0,35.6499180776,54.44,2259,30.843801201529217,52.2396110993722,52.2396110994
NGC2841,140.51025,50.97683,3.0,Sb,1.84,6.918310240910394,10.06,65.2,638.0,895.0,12.2200983069,17.28,636,8.683779355543418,16.3681557252971,16.3681557253
NGC2853,140.82225,40.20008,-0.9,S0-a,1.22,1.6595870167669808,14.46,63.7,1765.0,2129.0,29.0688148553,28.2,1783,24.34462042599672,,28.2
NGC2859,141.07725000000002,34.51336,-1.2,S0-a,1.5,3.1622776601683795,11.87,32.9,1690.0,2050.0,27.9901693064,21.76,1686,23.020207536865087,,21.76
NGC2915,141.5493,-76.62644,1.6,SBab,1.26,1.819700818650877,13.19,62.2,468.0,227.0,3.09939923539,4.06,465,6.3489896231567435,4.285484902836273,4.28548490284
NGC2907,142.9026,-16.73466,1.0,Sa,1.45,2.818383240711117,12.70,46.4,2090.0,2228.0,30.4205352267,28.2,2070,28.263244128891294,,28.2
PGC027066,142.97415,-16.67946,6.9,Scd,1.12,1.3182567530303144,16.53,83.8,2180.0,2327.0,31.772255598,67.02,2178,29.73784817039867,,67.02
ESO373-008,143.33955,-33.03346,6.1,Sc,1.57,3.7153527396948913,12.71,78.6,926.0,771.0,10.5270344074,10.33,925,12.629710540688146,9.682779923417126,9.68277992342
UGC05139,145.1346,71.1833,9.9,IAB,1.52,3.3113110693986716,13.37,18.4,139.0,359.0,4.9016930639,4.24,140,1.9115237575095578,4.017908955496506,4.0179089555
NGC2974,145.6386,-3.69876,-4.3,E,1.54,3.4673681999632944,11.88,90.0,1887.0,2118.0,28.9186237029,26.29,1891,25.81922446750409,21.281393824542292,21.2813938245
NGC2950,145.64625,58.85119,-2.0,S0,1.42,2.630267731982223,11.93,61.9,1322.0,1710.0,23.3478973239,18.73,1329,18.14582195521572,14.791086480080835,14.7910864801
PGC090942,146.39535,-14.40249,6.2,Sc,1.06,1.14815347022194,17.12,90.0,2452.0,2645.0,36.1141452758,,2452,33.47897323866737,,36.1141452758
NGC2992,146.4252,-14.32638,0.9,Sa,1.47,2.9512094210846427,13.06,90.0,2311.0,2492.0,34.0251228837,31.6,2310,31.540141998907682,,31.6
NGC2993,146.4513,-14.36838,1.2,Sa,1.13,1.348962867780606,13.11,35.8,2430.0,2621.0,35.7864554888,30.5,2422,33.069361004915336,,30.5
NGC2976,146.81459999999998,67.91626,5.2,Sc,1.76,5.754399247009779,10.81,60.5,3.0,167.0,2.28017476789,3.93,5,0.06826870562534137,3.580963553222672,3.58096355322
ESO434-040,146.91765,-30.94863,-1.3,S0-a,1.03,1.0715192346486087,14.06,65.2,2544.0,2599.0,35.4860731841,,2466,33.670125614418325,,35.4860731841
NGC3049,148.70685,9.27136,2.5,SBb,1.32,2.089296383189619,13.67,58.1,1455.0,1756.0,23.9759694156,24.15,1478,20.180229382850897,17.864869785596277,17.8648697856
NGC3031,148.88805,69.06544,2.4,Sab,2.33,21.37961713919407,7.79,62.7,-34.0,129.0,1.76133260513,3.71,-38,,3.597495279107715,3.59749527911
NGC3034,148.96800000000002,69.67977,7.5,Scd,2.04,10.964780998322171,8.94,76.9,203.0,432.0,5.89841616603,3.91,231,3.1540141998907694,3.6140993565319386,3.61409935653
UGC05340,149.19135,28.82783,9.7,IB,1.29,1.949844428490234,14.77,84.7,503.0,500.0,6.82687056253,8.57,510,6.963407973784815,12.76438651846,12.7643865185
PGC028759,149.3784,69.27771,10.0,I,1.25,1.778279410038923,16.80,28.7,99.0,296.0,4.04150737302,3.84,99,1.3517203713817587,3.8370734323261306,3.83707343233
UGC05336,149.38320000000002,69.04596,9.9,I,1.4,2.511886293612277,14.48,34.0,46.0,227.0,3.09939923539,4.09,53,0.7236482796286183,3.8547832719255797,3.85478327193
UGC05364,149.86005,30.74639,9.9,IB,1.66,4.570881544844178,13.07,60.3,20.0,-46.0,-0.628072091753,1.27,24,0.3276897870016386,0.7834297391055878,0.783429739106
NGC3081,149.87294999999997,-22.82636,0.0,S0-a,1.43,2.6915344788557576,12.89,59.8,2391.0,2499.0,34.1206990715,26.5,2363,32.2637902785363,,26.5
IC2531,149.98125,-29.61755,5.0,Sc,1.82,6.606935278031127,12.90,90.0,2472.0,2520.0,34.4074276352,34.28,2473,33.76570180229382,35.64507796293675,35.6450779629
UGC05373,150.00015,5.33223,9.9,IB,1.69,4.89778883899247,11.92,59.1,301.0,114.0,1.55652648826,1.56,302,4.1234298197706165,1.438798552979996,1.43879855298
NGC3073,150.2169,55.61892,-2.8,E-S0,1.08,1.20226455342066,14.11,31.8,1173.0,1573.0,21.4773347897,26.1,1202,16.41179683233205,33.41948022541579,33.4194802254
NGC3079,150.49095,55.67982,6.6,SBcd,1.91,8.128304536923304,11.41,90.0,1116.0,1513.0,20.6581103222,19.3,1123,15.333151283451663,16.519615515542885,16.5196155155
NGC3077,150.82845,68.734,7.2,S?,1.72,5.248074948227709,10.63,38.1,14.0,186.0,2.53959584926,3.65,-8,,3.8547832719255797,3.85478327193
UGC05423,151.3785,70.36444,9.9,I,1.04,1.0964780998322172,14.90,79.8,347.0,626.0,8.54724194429,7.96,353,4.819770617149098,8.871559185281907,8.87155918528
UGC05454,151.79579999999999,12.65128,8.0,SABd,1.01,1.0232929698100972,15.84,54.6,2792.0,3172.0,43.3096668487,,2795,38.1622064445658,,43.3096668487
PGC029653,152.75325,-4.69282,9.9,IB,1.73,5.370318199557904,12.32,31.1,324.0,95.0,1.29710540688,1.43,324,4.423812124522119,1.3121999912266016,1.31219999123
NGC3147,154.2237,73.40073,3.9,Sbc,1.61,4.073802912227076,11.26,31.2,2802.0,3140.0,42.8727471327,43.46,2814,38.42162752594211,49.65924348597652,49.659243486
NGC3185,154.41075,21.68832,1.2,Sa,1.33,2.1379623007676005,12.94,60.1,1217.0,1576.0,21.5182960131,22.88,1237,16.889677771709447,24.210280685229964,24.2102806852
NGC3155,154.41615,74.34739,3.5,Sbc,1.08,1.20226455342066,14.10,61.3,2944.0,3275.0,44.7160021846,50.54,2944,40.19661387220096,48.52883552333469,48.5288355233
NGC3187,154.44930000000002,21.87333,5.0,SBc,1.35,2.238721261469447,13.76,74.6,1581.0,1994.0,27.2255598034,35.17,1582,21.600218459857988,,35.17
NGC3190,154.52625,21.83272,0.9,Sa,1.56,3.6307800693276415,11.88,87.8,1271.0,1649.0,22.5150191152,24.35,1323,18.063899508465312,24.32204884984253,24.3220488498
NGC3184,154.5708,41.42436,5.9,SABc,1.87,7.413102494401937,10.41,14.4,592.0,739.0,10.0901146914,12.04,592,8.083014746040412,11.641259885093195,11.6412598851
NGC3193,154.60365000000002,21.894,-4.8,E,1.37,2.344228841058573,11.99,32.8,1381.0,1782.0,24.3309666849,27.52,1370,18.705625341343517,33.72872138550822,33.7287213855
NGC3182,154.8876,58.20579,0.5,Sa,1.28,1.9054605924362857,13.07,36.5,2118.0,2518.0,34.3801201529,,2101,28.68651010376842,,34.3801201529
NGC3198,154.9788,45.54971,5.2,Sc,1.81,6.456541439665037,10.90,77.8,660.0,886.0,12.0972146368,13.94,662,9.038776624795192,13.99587027528499,13.9958702753
UGC05570,155.19585,73.28427,4.1,Sbc,1.0,1.0,16.16,70.4,2724.0,3066.0,41.8623702895,43.97,2724,37.192790824685936,,43.97
